model,train_accuracy,test_accuracy,macro_f1,overfit_gap,fit_time_s,stage,model_tuned,best_params,cv_best_macro_f1,test_macro_f1,tuning_time_s
LightGBM,0.924,0.842,0.859,0.082,19.6,baseline,,,,,
XGBoost,0.881,0.821,0.827,0.06,27.9,baseline,,,,,
GradientBoosting,0.743,0.721,0.752,0.021,46.7,baseline,,,,,
KNN,0.723,0.666,0.623,0.057,0.3,baseline,,,,,
RandomForest,0.621,0.572,0.571,0.049,6.4,baseline,,,,,
ComplementNB,0.636,0.631,0.55,0.005,0.3,baseline,,,,,
LinearSVC,0.532,0.524,0.5,0.009,3.0,baseline,,,,,
DecisionTree,0.415,0.399,0.498,0.015,0.6,baseline,,,,,
LogisticRegression,0.308,0.311,0.298,-0.002,34.3,baseline,,,,,
,,0.853,,,,tuned,LightGBM (tuned),"{'clf__num_leaves': 63, 'clf__n_estimators': 150, 'clf__learning_rate': 0.07}",0.84,0.865,390.5
,,0.803,,,,tuned,XGBoost (tuned),"{'clf__subsample': 0.8, 'clf__n_estimators': 250, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}",0.789,0.821,501.1
